Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5058","Enteric Fermentation","2014","2014","gigagrams","21986.9834","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5058","Enteric Fermentation","2015","2015","gigagrams","21839.0869","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5058","Enteric Fermentation","2016","2016","gigagrams","21553.7074","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","2014","2014","gigagrams","21986.9834","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","2015","2015","gigagrams","21839.0869","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","2016","2016","gigagrams","21553.7074","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5059","Manure Management","2014","2014","gigagrams","10379.9302","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5059","Manure Management","2015","2015","gigagrams","10275.2155","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5059","Manure Management","2016","2016","gigagrams","10218.2194","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7244","Emissions (CO2eq) from CH4","5059","Manure Management","2014","2014","gigagrams","6951.3886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7244","Emissions (CO2eq) from CH4","5059","Manure Management","2015","2015","gigagrams","6857.7173","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7244","Emissions (CO2eq) from CH4","5059","Manure Management","2016","2016","gigagrams","6800.3412","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7243","Emissions (CO2eq) from N2O","5059","Manure Management","2014","2014","gigagrams","3428.5416","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7243","Emissions (CO2eq) from N2O","5059","Manure Management","2015","2015","gigagrams","3417.4982","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7243","Emissions (CO2eq) from N2O","5059","Manure Management","2016","2016","gigagrams","3417.8782","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5061","Synthetic Fertilizers","2014","2014","gigagrams","11765.4649","Fc","Calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5061","Synthetic Fertilizers","2015","2015","gigagrams","11041.4153","Fc","Calculated data"
"GT","Agriculture Total","79","Germany","7231","Emissions (CO2eq)","5061","Synthetic Fertilizers","2016","2016","gigagrams","11041.4153","Fp","Previous year"
"GT","Agriculture Total","79","Germany","7243","Emissions (CO2eq) from N2O","5061","Synthetic Fertilizers","2014","2014","gigagrams","11765.4649","Fc","Calculated data"
"GT","Agriculture Total","79","Germany","7243","Emissions (CO2eq) from N2O","5061","Synthetic Fertilizers","2015","2015","gigagrams","11041.4153","Fc","Calculated data"
"GT","Agriculture Total","79","Germany","7243","Emissions (CO2eq) from N2O","5061","Synthetic Fertilizers","2016","2016","gigagrams","11041.4153","Fp","Previous year"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5058","Enteric Fermentation","2014","2014","gigagrams","2031554.8172","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5058","Enteric Fermentation","2015","2015","gigagrams","2046560.7457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5058","Enteric Fermentation","2016","2016","gigagrams","2073640.207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","2014","2014","gigagrams","2031554.8172","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","2015","2015","gigagrams","2046560.7457","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7244","Emissions (CO2eq) from CH4","5058","Enteric Fermentation","2016","2016","gigagrams","2073640.207","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5059","Manure Management","2014","2014","gigagrams","341418.3811","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5059","Manure Management","2015","2015","gigagrams","345068.9924","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5059","Manure Management","2016","2016","gigagrams","348559.4983","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7244","Emissions (CO2eq) from CH4","5059","Manure Management","2014","2014","gigagrams","202891.2508","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7244","Emissions (CO2eq) from CH4","5059","Manure Management","2015","2015","gigagrams","204559.9341","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7244","Emissions (CO2eq) from CH4","5059","Manure Management","2016","2016","gigagrams","206373.0004","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7243","Emissions (CO2eq) from N2O","5059","Manure Management","2014","2014","gigagrams","138527.1303","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7243","Emissions (CO2eq) from N2O","5059","Manure Management","2015","2015","gigagrams","140509.0583","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7243","Emissions (CO2eq) from N2O","5059","Manure Management","2016","2016","gigagrams","142186.4979","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5061","Synthetic Fertilizers","2014","2014","gigagrams","710521.727","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5061","Synthetic Fertilizers","2015","2015","gigagrams","705650.4836","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7231","Emissions (CO2eq)","5061","Synthetic Fertilizers","2016","2016","gigagrams","705650.4836","Fp","Previous year"
"GT","Agriculture Total","5000","World","7243","Emissions (CO2eq) from N2O","5061","Synthetic Fertilizers","2014","2014","gigagrams","710521.727","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7243","Emissions (CO2eq) from N2O","5061","Synthetic Fertilizers","2015","2015","gigagrams","705650.4836","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GT","Agriculture Total","5000","World","7243","Emissions (CO2eq) from N2O","5061","Synthetic Fertilizers","2016","2016","gigagrams","705650.4836","Fp","Previous year"
